_id,name,address,city,state,pincode,phone,email,profile_url,contact_person,category,open_hours,map_location
67cdd22f725df3b508c646c4,Adam Medicals,"Trivandrum – 695562, Kerala",Trivandrum,Kerala,695562,+91-9847000001,adammedicals@keralapharma.in,https://www.keralapharmacy.com/adammedicals,Mr. Suresh Nair,Pharmacy,9 AM - 9 PM,https://www.google.com/maps/search/?api=1&query=Trivandrum+695562+Kerala
67cdd22f725df3b508c646c5,Alfa Medicals,"Trivandrum – 695009, Kerala",Trivandrum,Kerala,695009,+91-9847000002,alfamedicals@keralapharma.in,https://www.keralapharmacy.com/alfamedicals,Mr. Rajesh Menon,Pharmacy,9 AM - 9 PM,https://www.google.com/maps/search/?api=1&query=Trivandrum+695009+Kerala
67cdd22f725df3b508c646c6,Allied Drug House,"Trivandrum – 695001, Kerala",Trivandrum,Kerala,695001,+91-9847000003,allieddrughouse@keralapharma.in,https://www.keralapharmacy.com/allieddrughouse,Mr. Anil Varghese,Pharmacy,9 AM - 9 PM,https://www.google.com/maps/search/?api=1&query=Trivandrum+695001+Kerala
67cdd22f725df3b508c646c7,Anand Agencies,"Trivandrum – 695009, Kerala",Trivandrum,Kerala,695009,+91-9847000004,anandagencies@keralapharma.in,https://www.keralapharmacy.com/anandagencies,Mr. Vijay Pillai,Pharmacy,9 AM - 9 PM,https://www.google.com/maps/search/?api=1&query=Trivandrum+695009+Kerala
67cdd22f725df3b508c646c8,Asha Medical,"Trivandrum – 695009, Kerala",Trivandrum,Kerala,695009,+91-9847000005,ashamedical@keralapharma.in,https://www.keralapharmacy.com/ashamedical,Mr. Pradeep Kumar,Pharmacy,9 AM - 9 PM,https://www.google.com/maps/search/?api=1&query=Trivandrum+695009+Kerala
67cdd22f725df3b508c646c9,Bhaskaran Medicals,"Trivandrum – 695011, Kerala",Trivandrum,Kerala,695011,+91-9847000006,bhaskaranmedicals@keralapharma.in,https://www.keralapharmacy.com/bhaskaranmedicals,Mr. Ajith Kumar,Pharmacy,9 AM - 9 PM,https://www.google.com/maps/search/?api=1&query=Trivandrum+695011+Kerala
67cdd22f725df3b508c646ca,Central Medical Stores,"Trivandrum – 695001, Kerala",Trivandrum,Kerala,695001,+91-9847000007,centralmedicalstores@keralapharma.in,https://www.keralapharmacy.com/centralmedicalstores,Mr. Ravi Nambiar,Pharmacy,9 AM - 9 PM,https://www.google.com/maps/search/?api=1&query=Trivandrum+695001+Kerala
67cdd22f725df3b508c646cb,Chitra Agencies,"Trivandrum – 695001, Kerala",Trivandrum,Kerala,695001,+91-9847000008,chitraagencies@keralapharma.in,https://www.keralapharmacy.com/chitraagencies,Mr. Mohan Varghese,Pharmacy,9 AM - 9 PM,https://www.google.com/maps/search/?api=1&query=Trivandrum+695001+Kerala
67cdd22f725df3b508c646cc,City Medical Services,"Trivandrum – 695001, Kerala",Trivandrum,Kerala,695001,+91-9847000009,citymedicalservices@keralapharma.in,https://www.keralapharmacy.com/citymedicalservices,Mr. Ramesh Kumar,Pharmacy,9 AM - 9 PM,https://www.google.com/maps/search/?api=1&query=Trivandrum+695001+Kerala
67cdd22f725df3b508c646cd,Classic Agencies,"Trivandrum – 695035, Kerala",Trivandrum,Kerala,695035,+91-9847000010,classicagencies@keralapharma.in,https://www.keralapharmacy.com/classicagencies,Mr. Sunil Pillai,Pharmacy,9 AM - 9 PM,https://www.google.com/maps/search/?api=1&query=Trivandrum+695035+Kerala
