_id,name,address.street,address.city,address.state,address.zip,address.country,phone,website,type,departments[0],departments[1],departments[2],bedCount,createdAt,mapLink
67cc960270dbada60633af1f,Mitra Hermitage Ayurveda Hospital,"Venkara Bund Road, Thiruvallam Junction",Thiruvananthapuram,Kerala,695027,India,0471-2381888,http://www.mitrahermitage.com,Ayurvedic,Ayurvedic Treatment,Panchakarma,Herbal Therapy,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Mitra+Hermitage+Ayurveda+Hospital+Thiruvananthapuram
67cc960270dbada60633af20,Saatwika Ayurveda Treatment Centre,"Sect. 41, Kurups Lane, Sasthamangalam",Thiruvananthapuram,Kerala,695010,India,0471-3194222,http://www.saatwika.in,Ayurvedic,Ayurvedic Treatment,Panchakarma,Yoga Therapy,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Saatwika+Ayurveda+Treatment+Centre+Thiruvananthapuram
67cc960270dbada60633af21,Ayur Mana (A Dharma Ayurveda Centre for Advanced Healing),"Aruvikkarakkonam, Ayiruppara",Thiruvananthapuram,Kerala,695584,India,0471-2410031,http://www.ayurmana.in,Ayurvedic,Ayurvedic Treatment,Panchakarma,Herbal Remedies,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Ayur+Mana+Thiruvananthapuram
67cc960270dbada60633af22,Sri Udiyannur Ayurvedha Oushadhasala,"No. Tc 10/1233, Chitra Nagar Puthenvila Junction, Vattiyoorkavu",Thiruvananthapuram,Kerala,695013,India,0471-2362453,http://www.vkmhospital.com,Ayurvedic,Ayurvedic Therapy,Panchakarma,Herbal Treatments,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Sri+Udiyannur+Ayurvedha+Oushadhasala+Thiruvananthapuram
67cc960270dbada60633af23,J Bharath Ayurvedics / J Bharath Deva Wellness,"Opp Secretariat Statue, Secretariat, Thiruvananthapuram GPO",Thiruvananthapuram,Kerala,695001,India,N/A,http://www.jbharathayurvedies.com,Ayurvedic,Ayurvedic Consultation,Herbal Remedies,Panchakarma,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/J+Bharath+Ayurvedics+Thiruvananthapuram
67cc960270dbada60633af24,Theertham Herbals,"Tc 14/683, No. 65, Nandavanam, Bodheswaran Road, Thiruvananthapuram Museum",Thiruvananthapuram,Kerala,695033,India,0471-2330084,http://www.theerthamherbals.com,Ayurvedic,Herbal Medicine,Ayurvedic Consultation,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Theertham+Herbals+Thiruvananthapuram
67cc960270dbada60633af25,Bhagyodayam Ayurvedics,"Kalyani Nilayam, Karthikeya Nagar River View Road, Karamana",Thiruvananthapuram,Kerala,695002,India,N/A,N/A,Ayurvedic,Ayurvedic Therapy,Herbal Treatments,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Bhagyodayam+Ayurvedics+Thiruvananthapuram
67cc960270dbada60633af26,Pankaja Kasthuri Ayurveda Medical College,"Killy, Kattakkada",Thiruvananthapuram,Kerala,695572,India,0471-2293808 / 2295918,http://www.pankajakasthuri.in/ayurveda-college,Ayurvedic Medical College,Ayurvedic Medicine,Panchakarma,Herbal Therapy,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Pankaja+Kasthuri+Ayurveda+Medical+College+Thiruvananthapuram
67cc960270dbada60633af27,Santhigiri Ayurveda Dental Care Clinic,Pothencode,Thiruvananthapuram,Kerala,695584,India,0471-2716634,http://www.santhigiriashram.com,Ayurvedic (Dental Care),Dental Care,Ayurvedic Treatments,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Santhigiri+Ayurveda+Dental+Care+Clinic+Thiruvananthapuram
67cc960270dbada60633af28,Matha Ayurveda Eye Hospital,"Near Civil Station, Jayaprakash Lane, Kudappanakkunnu",Thiruvananthapuram,Kerala,695043,India,0471-2731352,http://www.mathaonline.com,Ayurvedic (Eye Hospital),Ophthalmology,Ayurvedic Eye Care,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Matha+Ayurveda+Eye+Hospital+Thiruvananthapuram
67cc960270dbada60633af29,Karunya Ayurvedic Centre,Mannanathala,Thiruvananthapuram,Kerala,695015,India,N/A,http://www.karunyamedicalcentre.com,Ayurvedic,Ayurvedic Treatment,Panchakarma,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Karunya+Ayurvedic+Centre+Thiruvananthapuram
67cc960270dbada60633af2a,Kandamkulathy Super Speciality Hospital,"No.10/1634-1, Vattiyoorkavu",Thiruvananthapuram,Kerala,695013,India,0471-6453494,http://www.kandamkulathy.com,Ayurvedic,Ayurvedic Treatment,Panchakarma,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Kandamkulathy+Super+Speciality+Hospital+Thiruvananthapuram
67cc960270dbada60633af2b,Susrutha Institute of Ayurvedic & Hospital,Kattakkada,Thiruvananthapuram,Kerala,695572,India,0471-2291027,http://www.susruthaayurveda.com,Ayurvedic,Ayurvedic Medicine,Panchakarma,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Susrutha+Institute+of+Ayurvedic+%26+Hospital+Thiruvananthapuram
67cc960270dbada60633af2c,Sri Shankara Ayurveda Hospital,"Gowreespattom, Pattom Palace",Thiruvananthapuram,Kerala,695004,India,0471-2445385,http://www.sreesankara.com,Ayurvedic,Ayurvedic Medicine,Panchakarma,Herbal Therapy,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Sri+Shankara+Ayurveda+Hospital+Thiruvananthapuram
67cc960270dbada60633af2d,Akshaya Charitable Society & Ayurvedic Hospital,"No. Tc 6/2000, Asha Nivas, Prasanthnagar",Thiruvananthapuram,Kerala,695011,India,0471-3253947,N/A,Ayurvedic,Ayurvedic Treatment,Herbal Remedies,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Akshaya+Charitable+Society+%26+Ayurvedic+Hospital+Thiruvananthapuram
67cc960270dbada60633af2e,Ayushman Bhava Ayurvedic Centre,"55, Pothujanam Road, Kumarapuram",Thiruvananthapuram,Kerala,695011,India,0471-2556060,http://www.ayushmanbhava.com,Ayurvedic,Ayurvedic Treatment,Panchakarma,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Ayushman+Bhava+Ayurvedic+Centre+Thiruvananthapuram
67cc960270dbada60633af2f,Rithu Ayurvedic Healthcare Centre,"Tc 21/236(1), Near NSS Auditorium, Towerview West Judge Road, Karamana",Thiruvananthapuram,Kerala,695002,India,0471-6055565,http://www.rithuayurveda.com,Ayurvedic,Ayurvedic Treatment,Panchakarma,Herbal Remedies,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Rithu+Ayurvedic+Healthcare+Centre+Thiruvananthapuram
67cc960270dbada60633af30,Madathil Ayurveda & Siddha Hospital,"Near Infosys Building, Bypass Road, Poundukadavu Valiyaveli P O",Thiruvananthapuram,Kerala,695601,India,N/A,N/A,Ayurvedic,Ayurvedic Treatment,Siddha Medicine,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Madathil+Ayurveda+%26+Siddha+Hospital+Thiruvananthapuram
67cc960270dbada60633af31,Shin Shiva Ayurvedic Multispecialty Hospital,Chowara,Thiruvananthapuram,Kerala,695501,India,0471-2267332,N/A,Ayurvedic,Ayurvedic Treatment,Panchakarma,Herbal Remedies,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Shin+Shiva+Ayurvedic+Multispecialty+Hospital+Thiruvananthapuram
67cc960270dbada60633af32,Bhaskara Vilasam Ayurveda Nursing Home,"Near Municipality, Satram Junction, Nedumangadu",Thiruvananthapuram,Kerala,695541,India,0472-2812316,http://www.bhaskaravilasam.com,Ayurvedic,Ayurvedic Treatment,Panchakarma,Herbal Therapy,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Bhaskara+Vilasam+Ayurveda+Nursing+Home+Thiruvananthapuram
67cc960270dbada60633af33,Veda Hospital,"Kulathoor Junction, Kazhakuttam",Thiruvananthapuram,Kerala,695582,India,0471-2414680,N/A,Ayurvedic,Ayurvedic Treatment,Panchakarma,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Veda+Hospital+Thiruvananthapuram
67cc960270dbada60633af34,Ayurveda Maternity Ward,Thiruvananthapuram GPO,Thiruvananthapuram,Kerala,695001,India,0471-2340938,N/A,Ayurvedic,Maternity,Ayurvedic Obstetrics,,N/A,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Ayurveda+Maternity+Ward+Thiruvananthapuram
